"timeslice","hour"
"WEB19",2016-05-13 18:00:00
"WEB20",2016-05-13 19:00:00
"WEB21",2016-05-13 20:00:00
"WEB22",2016-05-13 21:00:00
"WEB23",2016-05-13 22:00:00
"WEB24",2016-05-13 23:00:00
"WEB25",2016-05-14
"WEB26",2016-05-14 01:00:00
"WEB27",2016-05-14 02:00:00
"WEB28",2016-05-14 03:00:00
"WEB29",2016-05-14 04:00:00
"WEB30",2016-05-14 05:00:00
"WEB31",2016-05-14 06:00:00
"WEB32",2016-05-14 07:00:00
"WEB33",2016-05-14 08:00:00
"WEB34",2016-05-14 09:00:00
"WEB35",2016-05-14 10:00:00
"WEB36",2016-05-14 11:00:00
"WEB37",2016-05-14 12:00:00
"WEB38",2016-05-14 13:00:00
"WEB39",2016-05-14 14:00:00
"WEB40",2016-05-14 15:00:00
"WEB41",2016-05-14 16:00:00
"WEB42",2016-05-14 17:00:00
"WEB43",2016-05-14 18:00:00
"WEB44",2016-05-14 19:00:00
"WEB45",2016-05-14 20:00:00
"WEB46",2016-05-14 21:00:00
"WEB47",2016-05-14 22:00:00
"WEB48",2016-05-14 23:00:00
"WDC1",2016-05-15
"WDC2",2016-05-15 01:00:00
"WDC3",2016-05-15 02:00:00
"WDC4",2016-05-15 03:00:00
"WDC5",2016-05-15 04:00:00
"WDC6",2016-05-15 05:00:00
"WDC7",2016-05-15 06:00:00
"WDC8",2016-05-15 07:00:00
"WDC9",2016-05-15 08:00:00
"WDC10",2016-05-15 09:00:00
"WDC11",2016-05-15 10:00:00
"WDC12",2016-05-15 11:00:00
"WDC13",2016-05-15 12:00:00
"WDC14",2016-05-15 13:00:00
"WDC15",2016-05-15 14:00:00
"WDC16",2016-05-15 15:00:00
"WDC17",2016-05-15 16:00:00
"WDC18",2016-05-15 17:00:00
"WDC19",2016-05-15 18:00:00
"WDC20",2016-05-15 19:00:00
"WDC21",2016-05-15 20:00:00
"WDC22",2016-05-15 21:00:00
"WDC23",2016-05-15 22:00:00
"WDC24",2016-05-15 23:00:00
"WDC25",2016-05-16
"WDC26",2016-05-16 01:00:00
"WDC27",2016-05-16 02:00:00
"WDC28",2016-05-16 03:00:00
"WDC29",2016-05-16 04:00:00
"WDC30",2016-05-16 05:00:00
"WDC31",2016-05-16 06:00:00
"WDC32",2016-05-16 07:00:00
"WDC33",2016-05-16 08:00:00
"WDC34",2016-05-16 09:00:00
"WDC35",2016-05-16 10:00:00
"WDC36",2016-05-16 11:00:00
"WDC37",2016-05-16 12:00:00
"WDC38",2016-05-16 13:00:00
"WDC39",2016-05-16 14:00:00
"WDC40",2016-05-16 15:00:00
"WDC41",2016-05-16 16:00:00
"WDC42",2016-05-16 17:00:00
"WDC43",2016-05-16 18:00:00
"WDC44",2016-05-16 19:00:00
"WDC45",2016-05-16 20:00:00
"WDC46",2016-05-16 21:00:00
"WDC47",2016-05-16 22:00:00
"WDC48",2016-05-16 23:00:00
"WDC49",2016-05-17
"WDC50",2016-05-17 01:00:00
"WDC51",2016-05-17 02:00:00
"WDC52",2016-05-17 03:00:00
"WDC53",2016-05-17 04:00:00
"WDC54",2016-05-17 05:00:00
"WDC55",2016-05-17 06:00:00
"WDC56",2016-05-17 07:00:00
"WDC57",2016-05-17 08:00:00
"WDC58",2016-05-17 09:00:00
"WDC59",2016-05-17 10:00:00
"WDC60",2016-05-17 11:00:00
"WDC61",2016-05-17 12:00:00
"WDC62",2016-05-17 13:00:00
"WDC63",2016-05-17 14:00:00
"WDC64",2016-05-17 15:00:00
"WDC65",2016-05-17 16:00:00
"WDC66",2016-05-17 17:00:00
"WDC67",2016-05-17 18:00:00
"WDC68",2016-05-17 19:00:00
"WDC69",2016-05-17 20:00:00
"WDC70",2016-05-17 21:00:00
"WDC71",2016-05-17 22:00:00
"WDC72",2016-05-17 23:00:00
"WDC73",2016-05-18
"WDC74",2016-05-18 01:00:00
"WDC75",2016-05-18 02:00:00
"WDC76",2016-05-18 03:00:00
"WDC77",2016-05-18 04:00:00
"WDC78",2016-05-18 05:00:00
"WDC79",2016-05-18 06:00:00
"WDC80",2016-05-18 07:00:00
"WDC81",2016-05-18 08:00:00
"WDC82",2016-05-18 09:00:00
"WDC83",2016-05-18 10:00:00
"WDC84",2016-05-18 11:00:00
"WDC85",2016-05-18 12:00:00
"WDC86",2016-05-18 13:00:00
"WDC87",2016-05-18 14:00:00
"WDC88",2016-05-18 15:00:00
"WDC89",2016-05-18 16:00:00
"WDC90",2016-05-18 17:00:00
"WDC91",2016-05-18 18:00:00
"WDC92",2016-05-18 19:00:00
"WDC93",2016-05-18 20:00:00
"WDC94",2016-05-18 21:00:00
"WDC95",2016-05-18 22:00:00
"WDC96",2016-05-18 23:00:00
"WDC97",2016-05-19
"WDC98",2016-05-19 01:00:00
"WDC99",2016-05-19 02:00:00
"WDC100",2016-05-19 03:00:00
"WDC101",2016-05-19 04:00:00
"WDC102",2016-05-19 05:00:00
"WDC103",2016-05-19 06:00:00
"WDC104",2016-05-19 07:00:00
"WDC105",2016-05-19 08:00:00
"WDC106",2016-05-19 09:00:00
"WDC107",2016-05-19 10:00:00
"WDC108",2016-05-19 11:00:00
"WDC109",2016-05-19 12:00:00
"WDC110",2016-05-19 13:00:00
"WDC111",2016-05-19 14:00:00
"WDC112",2016-05-19 15:00:00
"WDC113",2016-05-19 16:00:00
"WDC114",2016-05-19 17:00:00
"WDC115",2016-05-19 18:00:00
"WDC116",2016-05-19 19:00:00
"WDC117",2016-05-19 20:00:00
"WDC118",2016-05-19 21:00:00
"WDC119",2016-05-19 22:00:00
"WDC120",2016-05-19 23:00:00
"WEC1",2016-05-20
"WEC2",2016-05-20 01:00:00
"WEC3",2016-05-20 02:00:00
"WEC4",2016-05-20 03:00:00
"WEC5",2016-05-20 04:00:00
"WEC6",2016-05-20 05:00:00
"WEC7",2016-05-20 06:00:00
"WEC8",2016-05-20 07:00:00
"WEC9",2016-05-20 08:00:00
"WEC10",2016-05-20 09:00:00
"WEC11",2016-05-20 10:00:00
"WEC12",2016-05-20 11:00:00
"WEC13",2016-05-20 12:00:00
"WEC14",2016-05-20 13:00:00
"WEC15",2016-05-20 14:00:00
"WEC16",2016-05-20 15:00:00
"WEC17",2016-05-20 16:00:00
"WEC18",2016-05-20 17:00:00
"WEC19",2016-05-20 18:00:00
"WEC20",2016-05-20 19:00:00
"WEC21",2016-05-20 20:00:00
"WEC22",2016-05-20 21:00:00
"WEC23",2016-05-20 22:00:00
"WEC24",2016-05-20 23:00:00
"WEC25",2016-05-21
"WEC26",2016-05-21 01:00:00
"WEC27",2016-05-21 02:00:00
"WEC28",2016-05-21 03:00:00
"WEC29",2016-05-21 04:00:00
"WEC30",2016-05-21 05:00:00
"WEC31",2016-05-21 06:00:00
"WEC32",2016-05-21 07:00:00
"WEC33",2016-05-21 08:00:00
"WEC34",2016-05-21 09:00:00
"WEC35",2016-05-21 10:00:00
"WEC36",2016-05-21 11:00:00
"WEC37",2016-05-21 12:00:00
"WEC38",2016-05-21 13:00:00
"WEC39",2016-05-21 14:00:00
"WEC40",2016-05-21 15:00:00
"WEC41",2016-05-21 16:00:00
"WEC42",2016-05-21 17:00:00
"WEC43",2016-05-21 18:00:00
"WEC44",2016-05-21 19:00:00
"WEC45",2016-05-21 20:00:00
"WEC46",2016-05-21 21:00:00
"WEC47",2016-05-21 22:00:00
"WEC48",2016-05-21 23:00:00
"WDD1",2016-05-22
"WDD2",2016-05-22 01:00:00
"WDD3",2016-05-22 02:00:00
"WDD4",2016-05-22 03:00:00
"WDD5",2016-05-22 04:00:00
"WDD6",2016-05-22 05:00:00
"WDD7",2016-05-22 06:00:00
"WDD8",2016-05-22 07:00:00
"WDD9",2016-05-22 08:00:00
"WDD10",2016-05-22 09:00:00
"WDD11",2016-05-22 10:00:00
"WDD12",2016-05-22 11:00:00
"WDD13",2016-05-22 12:00:00
"WDD14",2016-05-22 13:00:00
"WDD15",2016-05-22 14:00:00
"WDD16",2016-05-22 15:00:00
"WDD17",2016-05-22 16:00:00
"WDD18",2016-05-22 17:00:00
"WDD19",2016-05-22 18:00:00
"WDD20",2016-05-22 19:00:00
"WDD21",2016-05-22 20:00:00
"WDD22",2016-05-22 21:00:00
"WDD23",2016-05-22 22:00:00
"WDD24",2016-05-22 23:00:00
"WDD25",2016-05-23
"WDD26",2016-05-23 01:00:00
"WDD27",2016-05-23 02:00:00
"WDD28",2016-05-23 03:00:00
"WDD29",2016-05-23 04:00:00
"WDD30",2016-05-23 05:00:00
"WDD31",2016-05-23 06:00:00
"WDD32",2016-05-23 07:00:00
"WDD33",2016-05-23 08:00:00
"WDD34",2016-05-23 09:00:00
"WDD35",2016-05-23 10:00:00
"WDD36",2016-05-23 11:00:00
"WDD37",2016-05-23 12:00:00
"WDD38",2016-05-23 13:00:00
"WDD39",2016-05-23 14:00:00
"WDD40",2016-05-23 15:00:00
"WDD41",2016-05-23 16:00:00
"WDD42",2016-05-23 17:00:00
"WDD43",2016-05-23 18:00:00
"WDD44",2016-05-23 19:00:00
"WDD45",2016-05-23 20:00:00
"WDD46",2016-05-23 21:00:00
"WDD47",2016-05-23 22:00:00
"WDD48",2016-05-23 23:00:00
"WDD49",2016-05-24
"WDD50",2016-05-24 01:00:00
"WDD51",2016-05-24 02:00:00
"WDD52",2016-05-24 03:00:00
"WDD53",2016-05-24 04:00:00
"WDD54",2016-05-24 05:00:00
"WDD55",2016-05-24 06:00:00
"WDD56",2016-05-24 07:00:00
"WDD57",2016-05-24 08:00:00
"WDD58",2016-05-24 09:00:00
"WDD59",2016-05-24 10:00:00
"WDD60",2016-05-24 11:00:00
"WDD61",2016-05-24 12:00:00
"WDD62",2016-05-24 13:00:00
"WDD63",2016-05-24 14:00:00
"WDD64",2016-05-24 15:00:00
"WDD65",2016-05-24 16:00:00
"WDD66",2016-05-24 17:00:00
"WDD67",2016-05-24 18:00:00
"WDD68",2016-05-24 19:00:00
